id,statename,lganame,wardname,urban,landuse,NDVI,processed_date,geometry_x
296327314,Borno,Kala Balge,Rann,No,farmland,0.08639807118914546,2024-03-29,"POLYGON ((14.4142594 12.3089386, 14.4144249 12.3048677, 14.4174896 12.304934, 14.4169305 12.308746, 14.4142594 12.3089386))"
296327315,Borno,Kala Balge,Rann,No,farmland,0.10089964561090786,2024-03-29,"POLYGON ((14.4379926 12.3616863, 14.4374985 12.3624075, 14.4369651 12.3613436, 14.4374115 12.3611215, 14.4379926 12.3616863))"
296327316,Borno,Kala Balge,Rann,No,farmland,0.11857863805765109,2024-03-29,"POLYGON ((14.4492546 12.3254259, 14.4730583 12.3194868, 14.4999382 12.3267854, 14.4778373 12.3436729, 14.4492546 12.3254259))"
296327317,Borno,Kala Balge,Rann,No,farmland,0.11220728877929119,2024-03-29,"POLYGON ((14.4233828 12.3615538, 14.4270603 12.3618774, 14.4302437 12.3612302, 14.4292218 12.3633472, 14.4233828 12.3615538))"
296327318,Borno,Kala Balge,Rann,No,farmland,0.14035703106120623,2024-03-29,"POLYGON ((14.4296822 12.3633472, 14.4320684 12.3611644, 14.4349317 12.3635391, 14.4325119 12.364614, 14.4296822 12.3633472))"
296327321,Borno,Kala Balge,Rann,No,farmland,0.16982149814701922,2024-03-29,"POLYGON ((14.4337897 12.3137488, 14.4529198 12.3112716, 14.4601284 12.3148781, 14.4407016 12.3252657, 14.4337897 12.3137488))"
296327322,Borno,Kala Balge,Rann,No,farmland,0.15177394795394408,2024-03-29,"POLYGON ((14.414093 12.352237, 14.4248224 12.3500273, 14.4254787 12.3583211, 14.4146954 12.3610371, 14.414093 12.352237))"
296327323,Borno,Kala Balge,Rann,No,farmland,0.11714171469716773,2024-03-29,"POLYGON ((14.4140785 12.3521668, 14.4297455 12.3399365, 14.4431378 12.3424547, 14.4328516 12.3579575, 14.4140785 12.3521668))"
296327324,Borno,Kala Balge,Rann,No,farmland,0.10445174346835626,2024-03-29,"POLYGON ((14.4141912 12.3462448, 14.4207578 12.3266567, 14.4550365 12.3337929, 14.4480364 12.3404087, 14.4141912 12.3462448))"
296327325,Borno,Kala Balge,Rann,No,farmland,0.11656519367568886,2024-03-29,"POLYGON ((14.4328516 12.3579575, 14.4382723 12.3434117, 14.4747094 12.3450367, 14.4645647 12.3600503, 14.4328516 12.3579575))"
296327326,Borno,Kala Balge,Rann,No,farmland,0.0892464383815941,2024-03-29,"POLYGON ((14.4668827 12.3184469, 14.471901 12.3028961, 14.501596 12.3171046, 14.4924419 12.322326, 14.4668827 12.3184469))"
12664453,Adamawa,Lamurde,Waduku,No,farmland,0.7772117044687825,2024-03-29,"POLYGON ((11.6759105 9.5106327, 11.6661126 9.5044124, 11.6674429 9.4943711, 11.6837154 9.5032014, 11.6759105 9.5106327))"
41080221,Adamawa,Lamurde,Waduku,No,farmland,0.5752026182018116,2024-03-29,"POLYGON ((11.5127424 9.4158812, 11.5276811 9.4067791, 11.5412382 9.4363718, 11.5331701 9.4362025, 11.5127424 9.4158812))"
